cell,formula,cached_value
E221,='Material Rates_Master'!D54,123.53
F221,=E221*D221,0
B222,,"Valve Box - Non-Trafficable - Plastic Surround with CI Drop In ""V"""
C222,='Material Rates_Master'!B55,ea
E222,='Material Rates_Master'!D55,98.82
F222,=E222*D222,0
C223,='Material Rates_Master'!B56,0
E223,='Material Rates_Master'!D56,0
F223,=E223*D223,0
B224,,200*150mm DICL FL Reducer
C224,='Material Rates_Master'!B57,ea
E224,='Material Rates_Master'!D57,291.18
F224,=E224*D224,0
B225,,200*100mm DICL FL Reducer
C225,='Material Rates_Master'!B58,ea
E225,='Material Rates_Master'!D58,330
F225,=E225*D225,0
B226,,150*100mm DICL FL Reducer
C226,='Material Rates_Master'!B59,ea
E226,='Material Rates_Master'!D59,156
F226,=E226*D226,0
B227,,150mm DICL FL * SP Adapter
C227,='Material Rates_Master'!B60,ea
E227,='Material Rates_Master'!D60,106.24
F227,=E227*D227,0
B228,,100mm DICL FL * SP Adapter
C228,='Material Rates_Master'!B61,ea
E228,='Material Rates_Master'!D61,70.59
F228,=E228*D228,0
B229,,200mm DICL FL 90Deg Bend
C229,='Material Rates_Master'!B62,ea
E229,='Material Rates_Master'!D62,516.35
F229,=E229*D229,0
B230,,150mm DICL FL 90Deg Bend
C230,='Material Rates_Master'!B63,ea
E230,='Material Rates_Master'!D63,198.88
F230,=E230*D230,0
B231,,100mm DICL FL 90Deg Bend
C231,='Material Rates_Master'!B64,ea
E231,='Material Rates_Master'!D64,108.71
F231,=E231*D231,0
B232,,200mm DICL FL TEE
C232,='Material Rates_Master'!B65,ea
E232,='Material Rates_Master'!D65,672.65
F232,=E232*D232,0
B233,,150mm DICL FL TEE
C233,='Material Rates_Master'!B66,ea
E233,='Material Rates_Master'!D66,228.24
F233,=E233*D233,0
B234,,100mm DICL FL TEE
C234,='Material Rates_Master'!B67,ea
E234,='Material Rates_Master'!D67,128.24
F234,=E234*D234,0
B235,,200*150*200 DICL FL TEE
C235,='Material Rates_Master'!B68,ea
E235,='Material Rates_Master'!D68,536.76
F235,=E235*D235,0
B236,,200*100*200 DICL FL TEE
C236,='Material Rates_Master'!B69,ea
E236,='Material Rates_Master'!D69,576.47
F236,=E236*D236,0
B237,,150-100-150 DICL FL TEE
C237,='Material Rates_Master'!B70,ea
E237,='Material Rates_Master'!D70,198.82
F237,=E237*D237,0
B238,,200mm DICL FL Pipe @ 1000
C238,='Material Rates_Master'!B71,ea
E238,='Material Rates_Master'!D71,898.82
F238,=E238*D238,0
